coder_pair,substance,block,item_id,level_1,level_2,level_3,n_shared_scenes,n_A_coded,n_B_coded,both_yes,A_only,B_only,both_no,observed_agreement,expected_agreement,prevalence,cohens_kappa,kappa_SE,pabak,kappa_label
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,auditory_hallucination_inorganic_entity_other,Auditory hallucination,Inorganic entity,Other,48,1,0,0,1,0,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,auditory_hallucination_extraordinary_entity_spirit,Auditory hallucination,Extraordinary entity,Spirit,48,1,1,1,0,0,47,1.0,0.9592,0.0208,1.0,0.0,1.0,almost-perfect
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,auditory_hallucination_extraordinary_entity_other,Auditory hallucination,Extraordinary entity,Other,48,1,2,0,1,2,45,0.9375,0.9392,0.0312,-0.0286,0.575,0.875,worse-than-chance
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,tactile_hallucination_artefact,Tactile hallucination,Artefact,,48,1,0,0,1,0,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,tactile_hallucination_inorganic_entity,Tactile hallucination,Inorganic entity,,48,1,0,0,1,0,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,nonsensory_hallucination_human,Nonsensory hallucination,Human,,48,2,0,0,2,0,46,0.9583,0.9583,0.0208,0.0,0.6922,0.9167,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,nonsensory_hallucination_inorganic_entity,Nonsensory hallucination,Inorganic entity,,48,2,0,0,2,0,46,0.9583,0.9583,0.0208,0.0,0.6922,0.9167,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,nonsensory_hallucination_extraordinary_entity,Nonsensory hallucination,Extraordinary entity,,48,0,1,0,0,1,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,nonsensory_hallucination_other,Nonsensory hallucination,Other,,48,0,2,0,0,2,46,0.9583,0.9583,0.0208,0.0,0.6922,0.9167,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination,Possible and probable event,,48,0,1,0,0,1,47,0.9792,0.9792,0.0104,0.0,0.9895,0.9583,slight
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,modal_status_of_the_hallucination_possible_but_improbable_event,Modal status of the hallucination,Possible but improbable event,,48,3,4,1,2,3,42,0.8958,0.8646,0.0729,0.2308,0.3256,0.7917,fair
Psil 01-10: Alessandra × Brendan,psilocybin,01-10,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination,Impossible event,,48,26,17,15,11,2,20,0.7292,0.4878,0.4479,0.4712,0.1252,0.4583,moderate
Psil 11-20: Francesco × Susana,psilocybin,11-20,type_of_visual_alteration_illusion,Type of visual alteration,Illusion,,57,14,17,11,3,6,37,0.8421,0.6026,0.2719,0.6026,0.1215,0.6842,substantial
Psil 11-20: Francesco × Susana,psilocybin,11-20,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration,Hallucination of an incrusted object,,57,4,8,1,3,7,46,0.8246,0.8092,0.1053,0.0806,0.264,0.6491,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration,Hallucination of a detached object,,57,12,3,1,11,2,43,0.7719,0.759,0.1316,0.0536,0.2306,0.5439,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,type_of_visual_alteration_full_blown_immersive_hallucination,Type of visual alteration,Full-blown immersive hallucination,,57,18,8,5,13,3,36,0.7193,0.6325,0.2281,0.2362,0.162,0.4386,fair
