code_id,scene_id,trip_id,rater,coder_name,item_id,item_path,level_1,level_2,level_3,is_scene_level,excerpt
C000066,Brugmansia_04_S02_AB,Brugmansia_04,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000067,Brugmansia_04_S02_AB,Brugmansia_04,B,Noah,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,True,
C000068,Brugmansia_04_S03_AB,Brugmansia_04,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000069,Brugmansia_04_S03_AB,Brugmansia_04,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000070,Brugmansia_04_S04_AB,Brugmansia_04,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000071,Brugmansia_04_S04_AB,Brugmansia_04,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000072,Brugmansia_04_S04_AB,Brugmansia_04,B,Noah,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,
C000073,Brugmansia_04_S05_A,Brugmansia_04,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000074,Brugmansia_04_S06_A,Brugmansia_04,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000075,Brugmansia_04_S06_A,Brugmansia_04,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000076,Brugmansia_04_S07_B,Brugmansia_04,B,Noah,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,True,
C000077,Brugmansia_04_S08_AB,Brugmansia_04,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000078,Brugmansia_04_S08_AB,Brugmansia_04,A,Brendan,visual_hallucination_artefact_tool_cloth,"Visual hallucination | Artefact | Tool, cloth",Visual hallucination,Artefact,"Tool, cloth",True,
C000079,Brugmansia_04_S08_AB,Brugmansia_04,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000080,Brugmansia_04_S08_AB,Brugmansia_04,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000081,Brugmansia_04_S09_AB,Brugmansia_04,A,Brendan,auditory_hallucination_artefact_other,Auditory hallucination | Artefact | Other,Auditory hallucination,Artefact,Other,True,
C000082,Brugmansia_04_S09_AB,Brugmansia_04,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000083,Brugmansia_04_S09_AB,Brugmansia_04,B,Noah,auditory_hallucination_artefact_other,Auditory hallucination | Artefact | Other,Auditory hallucination,Artefact,Other,True,
C000084,Brugmansia_04_S10_AB,Brugmansia_04,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000085,Brugmansia_04_S10_AB,Brugmansia_04,A,Brendan,visual_hallucination_human_celebrityies,Visual hallucination | Human | Celebrity(ies),Visual hallucination,Human,Celebrity(ies),True,
C000086,Brugmansia_04_S10_AB,Brugmansia_04,A,Brendan,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,True,
C000087,Brugmansia_04_S10_AB,Brugmansia_04,B,Noah,visual_hallucination_human_historical_figures,Visual hallucination | Human | Historical figure(s),Visual hallucination,Human,Historical figure(s),True,
C000088,Brugmansia_04_S11_A,Brugmansia_04,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000089,Brugmansia_04_S12_AB,Brugmansia_04,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000090,Brugmansia_04_S12_AB,Brugmansia_04,A,Brendan,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,
C000091,Brugmansia_04_S12_AB,Brugmansia_04,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000092,Brugmansia_04_S12_AB,Brugmansia_04,B,Noah,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,
C000093,Brugmansia_04_S13_AB,Brugmansia_04,A,Brendan,auditory_hallucination_animal_other,Auditory hallucination | Animal | Other,Auditory hallucination,Animal,Other,True,
C000094,Brugmansia_04_S13_AB,Brugmansia_04,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000095,Brugmansia_04_S13_AB,Brugmansia_04,B,Noah,auditory_hallucination_animal_mammal,Auditory hallucination | Animal | Mammal,Auditory hallucination,Animal,Mammal,True,
C000096,Brugmansia_04_S14_AB,Brugmansia_04,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000097,Brugmansia_04_S14_AB,Brugmansia_04,A,Brendan,visual_hallucination_artefact_tool_cloth,"Visual hallucination | Artefact | Tool, cloth",Visual hallucination,Artefact,"Tool, cloth",True,
C000098,Brugmansia_04_S14_AB,Brugmansia_04,A,Brendan,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,True,
C000099,Brugmansia_04_S14_AB,Brugmansia_04,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000100,Brugmansia_04_S15_AB,Brugmansia_04,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000101,Brugmansia_04_S15_AB,Brugmansia_04,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000102,,Brugmansia_04,A,Brendan,domain_specific_violation_biological_projection,domain_specific_violation_biological_projection,,,,False,Everything is breathing; chest-of-drawers trying to walk away; door breathing heavily
C000103,,Brugmansia_04,A,Brendan,domain_specific_violation_psychological_projection,domain_specific_violation_psychological_projection,,,,False,I think my door might be getting mad
C000104,,Brugmansia_04,A,Brendan,sense_of_reality_lucid,Sense of reality | Lucid,Sense of reality,Lucid,,False,I know this isn't really happening; I know it's only a hallucination; I know it's only in my head
C000105,,Brugmansia_04,B,Noah,sense_of_reality_lucid,Sense of reality | Lucid,Sense of reality,Lucid,,False,I know it's only a hallucination; I know it's only in my head
C000106,Brugmansia_05_S01_A,Brugmansia_05,A,Brendan,auditory_hallucination_inorganic_entity_other,Auditory hallucination | Inorganic entity | Other,Auditory hallucination,Inorganic entity,Other,True,
C000107,,Brugmansia_05,A,Brendan,own_body_distortion,Own body distortion,Own body distortion,,,False,body felt heavy; tried to figure out if took shower
C000108,,Brugmansia_05,A,Brendan,amnesia,Amnesia,Amnesia,,,False,barely remember dvd; last thing I remember; 0 recollection; extremely faint memory; no recollection
C000109,,Brugmansia_05,B,Noah,amnesia,Amnesia,Amnesia,,,False,barely remember dvd; last thing I remember; 0 recollection; no recollection
