bin_id,trip_id,bin_span_start,bin_span_end,bin_status,n_scenes_in_bin,n_both_scenes,n_only_A_scenes,n_only_B_scenes,granularity_recovered,chunking_split,member_scene_ids
Psilocybe_02_B113,Psilocybe_02,872,1000,only_A,1,0,1,0,False,False,Psilocybe_02_S03_A
Psilocybe_02_B114,Psilocybe_02,1015,1100,both,1,1,0,0,False,False,Psilocybe_02_S04_AB
Psilocybe_02_B115,Psilocybe_02,1144,1270,only_A,2,0,2,0,False,False,Psilocybe_02_S05_A;Psilocybe_02_S06_A
Psilocybe_02_B116,Psilocybe_02,1574,1800,both,1,1,0,0,False,False,Psilocybe_02_S07_AB
Psilocybe_02_B117,Psilocybe_02,2000,2170,only_A,1,0,1,0,False,False,Psilocybe_02_S08_A
Psilocybe_02_B118,Psilocybe_02,2511,2600,both,1,1,0,0,False,False,Psilocybe_02_S09_AB
Psilocybe_02_B119,Psilocybe_02,3114,3210,both,1,1,0,0,False,False,Psilocybe_02_S10_AB
Psilocybe_02_B120,Psilocybe_02,4469,4580,both,1,1,0,0,False,False,Psilocybe_02_S11_AB
Psilocybe_02_B121,Psilocybe_02,4700,5000,only_A,1,0,1,0,False,False,Psilocybe_02_S12_A
Psilocybe_02_B122,Psilocybe_02,5555,5620,only_A,1,0,1,0,False,False,Psilocybe_02_S13_A
Psilocybe_02_B123,Psilocybe_02,6390,6470,only_A,1,0,1,0,False,False,Psilocybe_02_S14_A
Psilocybe_02_B124,Psilocybe_02,7126,7200,both,1,1,0,0,False,False,Psilocybe_02_S15_AB
Psilocybe_02_B125,Psilocybe_02,7211,7300,both,1,1,0,0,False,False,Psilocybe_02_S16_AB
Psilocybe_02_B126,Psilocybe_02,7300,7500,only_A,1,0,1,0,False,False,Psilocybe_02_S17_A
Psilocybe_02_B127,Psilocybe_02,7791,7850,both,1,1,0,0,False,False,Psilocybe_02_S18_AB
Psilocybe_02_B128,Psilocybe_02,8242,8310,only_A,1,0,1,0,False,False,Psilocybe_02_S19_A
Psilocybe_02_B129,Psilocybe_02,8485,8560,only_A,1,0,1,0,False,False,Psilocybe_02_S20_A
Psilocybe_02_B130,Psilocybe_02,8674,8900,both,1,1,0,0,False,False,Psilocybe_02_S21_AB
Psilocybe_02_B131,Psilocybe_02,8955,9080,only_A,1,0,1,0,False,False,Psilocybe_02_S22_A
Psilocybe_02_B132,Psilocybe_02,9273,9520,both,1,1,0,0,False,False,Psilocybe_02_S23_AB
Psilocybe_02_B133,Psilocybe_02,10283,10530,both,1,1,0,0,False,False,Psilocybe_02_S24_AB
Psilocybe_02_B134,Psilocybe_02,10686,10800,only_A,1,0,1,0,False,False,Psilocybe_02_S25_A
Psilocybe_02_B135,Psilocybe_02,11390,11580,only_A,1,0,1,0,False,False,Psilocybe_02_S26_A
Psilocybe_03_B136,Psilocybe_03,5387,7050,both,1,1,0,0,False,False,Psilocybe_03_S01_AB
Psilocybe_04_B137,Psilocybe_04,746,1090,only_B,1,0,0,1,False,False,Psilocybe_04_S01_B
Psilocybe_04_B138,Psilocybe_04,1094,1320,both,1,1,0,0,False,False,Psilocybe_04_S02_AB
Psilocybe_04_B139,Psilocybe_04,3120,3250,both,1,1,0,0,False,False,Psilocybe_04_S03_AB
Psilocybe_05_B140,Psilocybe_05,1438,2100,both,1,1,0,0,False,False,Psilocybe_05_S01_AB
Psilocybe_05_B141,Psilocybe_05,2331,2540,only_A,1,0,1,0,False,False,Psilocybe_05_S02_A
Psilocybe_05_B142,Psilocybe_05,2887,3320,only_A,2,0,2,0,False,False,Psilocybe_05_S03_A;Psilocybe_05_S04_A
Psilocybe_05_B143,Psilocybe_05,3327,3540,both,1,1,0,0,False,False,Psilocybe_05_S05_AB
Psilocybe_05_B144,Psilocybe_05,3725,3900,only_A,1,0,1,0,False,False,Psilocybe_05_S06_A
Psilocybe_05_B145,Psilocybe_05,4513,4990,both,1,1,0,0,False,False,Psilocybe_05_S07_AB
Psilocybe_05_B146,Psilocybe_05,5942,6150,both,1,1,0,0,False,False,Psilocybe_05_S08_AB
Psilocybe_05_B147,Psilocybe_05,6243,6350,only_A,1,0,1,0,False,False,Psilocybe_05_S09_A
Psilocybe_05_B148,Psilocybe_05,7937,8400,both,1,1,0,0,False,False,Psilocybe_05_S10_AB
Psilocybe_05_B149,Psilocybe_05,9389,9500,only_A,1,0,1,0,False,False,Psilocybe_05_S11_A
Psilocybe_06_B150,Psilocybe_06,1911,2020,both,1,1,0,0,False,False,Psilocybe_06_S01_AB
Psilocybe_06_B151,Psilocybe_06,2027,2120,only_A,1,0,1,0,False,False,Psilocybe_06_S02_A
Psilocybe_06_B152,Psilocybe_06,2500,2600,only_A,1,0,1,0,False,False,Psilocybe_06_S03_A
Psilocybe_06_B153,Psilocybe_06,2680,2980,both,1,1,0,0,False,False,Psilocybe_06_S04_AB
Psilocybe_06_B154,Psilocybe_06,5250,5290,only_A,1,0,1,0,False,False,Psilocybe_06_S05_A
Psilocybe_06_B155,Psilocybe_06,6226,6400,both,1,1,0,0,False,False,Psilocybe_06_S06_AB
Psilocybe_06_B156,Psilocybe_06,7057,7200,only_A,1,0,1,0,False,False,Psilocybe_06_S07_A
Psilocybe_06_B157,Psilocybe_06,9343,9470,only_A,1,0,1,0,False,False,Psilocybe_06_S08_A
Psilocybe_06_B158,Psilocybe_06,10185,10380,only_A,1,0,1,0,False,False,Psilocybe_06_S09_A
Psilocybe_07_B159,Psilocybe_07,260,400,both,1,1,0,0,False,False,Psilocybe_07_S01_AB
Psilocybe_07_B160,Psilocybe_07,1094,1470,only_A,1,0,1,0,False,False,Psilocybe_07_S02_A
Psilocybe_07_B161,Psilocybe_07,1545,2600,both,1,1,0,0,False,False,Psilocybe_07_S03_AB
Psilocybe_07_B162,Psilocybe_07,2895,3900,both,1,1,0,0,False,False,Psilocybe_07_S04_AB
Psilocybe_07_B163,Psilocybe_07,3961,4900,both,1,1,0,0,False,False,Psilocybe_07_S05_AB
Psilocybe_07_B164,Psilocybe_07,5240,5700,both,1,1,0,0,False,False,Psilocybe_07_S06_AB
Psilocybe_07_B165,Psilocybe_07,6459,6700,both,1,1,0,0,False,False,Psilocybe_07_S07_AB
Psilocybe_07_B166,Psilocybe_07,7203,7500,both,1,1,0,0,False,False,Psilocybe_07_S08_AB
Psilocybe_08_B167,Psilocybe_08,1719,1900,both,1,1,0,0,False,False,Psilocybe_08_S01_AB
Psilocybe_08_B168,Psilocybe_08,1905,2060,only_A,1,0,1,0,False,False,Psilocybe_08_S02_A
Psilocybe_08_B169,Psilocybe_08,2080,2180,both,1,1,0,0,False,False,Psilocybe_08_S03_AB
Psilocybe_08_B170,Psilocybe_08,2766,2870,only_A,1,0,1,0,False,False,Psilocybe_08_S04_A
Psilocybe_08_B171,Psilocybe_08,3149,3680,both,2,0,1,1,True,False,Psilocybe_08_S05_B;Psilocybe_08_S06_A
Psilocybe_08_B172,Psilocybe_08,3704,3850,both,1,1,0,0,False,False,Psilocybe_08_S07_AB
Psilocybe_08_B173,Psilocybe_08,5419,5540,both,1,1,0,0,False,False,Psilocybe_08_S08_AB
Psilocybe_08_B174,Psilocybe_08,5549,5900,both,2,2,0,0,False,False,Psilocybe_08_S09_AB;Psilocybe_08_S10_AB
Psilocybe_08_B175,Psilocybe_08,6191,6400,only_A,1,0,1,0,False,False,Psilocybe_08_S11_A
Psilocybe_08_B176,Psilocybe_08,7363,7460,only_A,1,0,1,0,False,False,Psilocybe_08_S12_A
Psilocybe_09_B177,Psilocybe_09,734,900,only_A,1,0,1,0,False,False,Psilocybe_09_S01_A
Psilocybe_09_B178,Psilocybe_09,1612,1790,only_A,1,0,1,0,False,False,Psilocybe_09_S02_A
Psilocybe_09_B179,Psilocybe_09,2247,2400,both,1,1,0,0,False,False,Psilocybe_09_S03_AB
Psilocybe_09_B180,Psilocybe_09,3694,3870,only_A,1,0,1,0,False,False,Psilocybe_09_S04_A
Psilocybe_09_B181,Psilocybe_09,5697,5800,only_A,1,0,1,0,False,False,Psilocybe_09_S05_A
Psilocybe_10_B182,Psilocybe_10,1365,1900,both,1,1,0,0,False,False,Psilocybe_10_S01_AB
Psilocybe_10_B183,Psilocybe_10,3159,3450,both,1,1,0,0,False,False,Psilocybe_10_S02_AB
Psilocybe_10_B184,Psilocybe_10,3573,3900,both,1,1,0,0,False,False,Psilocybe_10_S03_AB
Psilocybe_10_B185,Psilocybe_10,3959,4100,both,1,1,0,0,False,False,Psilocybe_10_S04_AB
Psilocybe_10_B186,Psilocybe_10,5730,5870,both,1,1,0,0,False,False,Psilocybe_10_S05_AB
Psilocybe_10_B187,Psilocybe_10,9766,9860,both,1,1,0,0,False,False,Psilocybe_10_S06_AB
Psilocybe_10_B188,Psilocybe_10,11631,11720,only_A,1,0,1,0,False,False,Psilocybe_10_S07_A
Psilocybe_11_B189,Psilocybe_11,5629,5980,both,1,1,0,0,False,False,Psilocybe_11_S01_AB
Psilocybe_11_B190,Psilocybe_11,5982,6200,both,1,1,0,0,False,False,Psilocybe_11_S02_AB
Psilocybe_11_B191,Psilocybe_11,6423,6600,both,1,1,0,0,False,False,Psilocybe_11_S03_AB
Psilocybe_11_B192,Psilocybe_11,7273,8310,both,1,1,0,0,False,False,Psilocybe_11_S04_AB
Psilocybe_11_B193,Psilocybe_11,8471,8620,only_B,1,0,0,1,False,False,Psilocybe_11_S06_B
Psilocybe_11_B194,Psilocybe_11,8773,9050,both,1,1,0,0,False,False,Psilocybe_11_S05_AB
Psilocybe_11_B195,Psilocybe_11,9560,9900,only_B,1,0,0,1,False,False,Psilocybe_11_S07_B
Psilocybe_11_B196,Psilocybe_11,10971,11500,both,1,1,0,0,False,False,Psilocybe_11_S08_AB
